NEWARK      :14 OUT OF 14
SMAACTG     :1 OUT OF 1
DISTRICT239 :22 OUT OF 22
TYM31120    :2 OUT OF 2
PSD38010    :1 OUT OF 1
BRETTF      :3 OUT OF 3
TYM23073    :2 OUT OF 2
TYM30520    :2 OUT OF 2
NET34520    :1 OUT OF 1
MFGACTG     :1 OUT OF 1
TZIMMERMAN  :19 OUT OF 19
TYM23060    :0 OUT OF 0
SPPOPER     :25 OUT OF 25
PSD28011    :1 OUT OF 1
VAXBATCH    :5 OUT OF 5
INTACT      :207 OUT OF 207
QALIBSYM    :18 OUT OF 18
DCD20400    :1 OUT OF 1
DCD31870    :2 OUT OF 2
NET41370    :0 OUT OF 0
NET34210    :4 OUT OF 4
TYM26040    :2 OUT OF 2
TYM40470    :0 OUT OF 0
CORP.REP    :310 OUT OF 310
DCD20570    :2 OUT OF 2
NET41080    :0 OUT OF 0
TYM41350    :0 OUT OF 0
DOCUMENT    :1 OUT OF 1
TYM40420    :0 OUT OF 0
TYM40350    :1 OUT OF 1
MAGNUM      :33 OUT OF 33
TAPEDIR     :12 OUT OF 12
CAISIX      :1717 OUT OF 1717
WNFEOPS     :32 OUT OF 32
BUELNAJ     :32 OUT OF 32
PHIPRINT    :0 OUT OF 0
PSD31610    :1 OUT OF 1
TYM40144    :1 OUT OF 1
PSD21440    :0 OUT OF 0
PSD28420    :1 OUT OF 1
CLOVE       :194 OUT OF 194
CLEMONSE    :3 OUT OF 3
NDT         :45 OUT OF 45
INTERNET    :2 OUT OF 2
MIC24090    :0 OUT OF 0
DIST124B    :2 OUT OF 2
FUJIMOTO    :0 OUT OF 0
KBEDELL     :0 OUT OF 0
NET21220    :0 OUT OF 0
TYM40390    :1 OUT OF 1
PSD21400    :0 OUT OF 0
DISTRICT157A:1 OUT OF 1
DCD21270    :2 OUT OF 2
TYM20740    :0 OUT OF 0
NET34400    :4 OUT OF 4
DISTRICT165A:1 OUT OF 1
TYM22020    :2 OUT OF 2
MSACTG      :1 OUT OF 1
NET21030    :4 OUT OF 4
DCD41510    :2 OUT OF 2
TYM30500    :4 OUT OF 4
PTONSING    :0 OUT OF 0
TYM31252    :1 OUT OF 1
TYM40400    :0 OUT OF 0
TEL29230    :1 OUT OF 1
IRCSACT     :313 OUT OF 313
TYM40230    :1 OUT OF 1
SPOOLRM     :48 OUT OF 48
PSD27351    :1 OUT OF 1
PSD29230    :1 OUT OF 1
DCD40430    :2 OUT OF 2
SHUANG      :344 OUT OF 344
DCD65ACTG   :3 OUT OF 3
DISTRICT223A:1 OUT OF 1
DISTRICT99  :12 OUT OF 12
PA.DEV      :1 OUT OF 1
KRIVANEC    :6 OUT OF 6
DCD31921    :2 OUT OF 2
TYM22160    :0 OUT OF 0
PSD21470    :0 OUT OF 0
DISTRICT150A:2 OUT OF 2
TYM20100    :0 OUT OF 0
NET21070    :0 OUT OF 0
DCD31500    :2 OUT OF 2
NETCON      :144 OUT OF 144
VMPHB       :0 OUT OF 0
DCD21580    :2 OUT OF 2
TYM20120    :2 OUT OF 2
DISTRICT76A :23 OUT OF 23
NET34060    :0 OUT OF 0
SSDEV       :17 OUT OF 17
LINK10      :0 OUT OF 0
TYM30510    :2 OUT OF 2
OSMAN       :10 OUT OF 10
TYM40380    :0 OUT OF 0
CALMAIL     :1 OUT OF 1
TYM50610    :0 OUT OF 0
TYM22070    :2 OUT OF 2
PSD30501    :0 OUT OF 0
TCMHOUACTG  :3 OUT OF 3
TYM31030    :2 OUT OF 2
PSD57301    :1 OUT OF 1
MCINTYREB   :4 OUT OF 4
NET41020    :4 OUT OF 4
TYM50600    :0 OUT OF 0
GAMES       :32 OUT OF 32
TYM24060    :0 OUT OF 0
TYM24073    :2 OUT OF 2
DCD38013    :2 OUT OF 2
PAYROLNET   :1721 OUT OF 1721
SWAACTG     :3 OUT OF 3
TYMNET      :126 OUT OF 126
TYM31420    :2 OUT OF 2
CPAPRINT    :10 OUT OF 10
PSD29800    :1 OUT OF 1
TYM40110    :2 OUT OF 2
LEV         :4 OUT OF 4
DCD57ACTG   :3 OUT OF 3
TEL29700    :0 OUT OF 0
FOSTERC     :0 OUT OF 0
JBALL       :0 OUT OF 0
NET21120    :1 OUT OF 1
DEXTER      :11 OUT OF 11
DENCOFF     :11 OUT OF 11
MIDAS       :4 OUT OF 4
NET21050    :4 OUT OF 4
NET41030    :4 OUT OF 4
DCD21230    :2 OUT OF 2
PSD31493    :1 OUT OF 1
PSD31540    :1 OUT OF 1
BOBJ        :65 OUT OF 65
NET21060    :4 OUT OF 4
YOUNGSMA    :3 OUT OF 3
PSD29700    :1 OUT OF 1
ATTEND.DEV  :1280 OUT OF 1930
DISTRICT74A :8 OUT OF 8
PSD29720    :1 OUT OF 1
PSD20220    :1 OUT OF 1
PSD29920    :1 OUT OF 1
NETDETAIL   :4 OUT OF 4
DCD31830    :2 OUT OF 2
NET34201    :1 OUT OF 1
TYM30890    :2 OUT OF 2
NET34570    :0 OUT OF 0
HOLD        :1 OUT OF 1
PSD29530    :1 OUT OF 1
PSD31571    :1 OUT OF 1
DCD31931    :2 OUT OF 2
TYM41170    :0 OUT OF 0
DIST29C     :2 OUT OF 2
TYM30110    :2 OUT OF 2
PAYROLL     :5 OUT OF 5
TYM20700    :0 OUT OF 0
DISTRICT164A:6 OUT OF 6
TYM53250    :0 OUT OF 0
FSIEGEL     :59 OUT OF 59
FREITAS2    :0 OUT OF 0
PSD29540    :0 OUT OF 0
DISTRICT61A :127 OUT OF 127
TEL28220    :0 OUT OF 0
APPROD      :0 OUT OF 3
NET34640    :0 OUT OF 0
GL.NEW      :7 OUT OF 7
CHECKIN     :0 OUT OF 0
TYM26050    :2 OUT OF 2
TYM40021    :1 OUT OF 1
CRACTG      :1 OUT OF 1
TYM41110    :2 OUT OF 2
TEL28320    :0 OUT OF 0
RTYLIB      :1 OUT OF 1
